,code,market,date,name,close,totalchange,futureHigh,nextday open,nextday low,nextday high,nextday close,forecast,ratio
107,S 000516,主板,20220706,国际医学,10.9,0,0,0,0,0,0,不涨,0.029728760942816734
108,S 000517,主板,20220706,荣安地产,2.98,0,0,0,0,0,0,不涨,0.0023869255091995
109,S 000518,主板,20220706,四环生物,3.23,0,0,0,0,0,0,不涨,0.0030091803055256605
110,S 000519,主板,20220706,中兵红箭,31.98,0,0,0,0,0,0,不涨,4.885862290393561e-05
111,S 000520,主板,20220706,长航凤凰,3.15,0,0,0,0,0,0,不涨,0.000477025838335976
112,S 000521,主板,20220706,长虹美菱,3.8,0,0,0,0,0,0,不涨,0.006854782812297344
113,S 000523,主板,20220706,广州浪奇,3.7,0,0,0,0,0,0,不涨,0.0003909710212610662
114,S 000524,主板,20220706,岭南控股,10.55,0,0,0,0,0,0,不涨,0.011971399188041687
115,S 000525,主板,20220706,ST红太阳,13.47,0,0,0,0,0,0,不涨,0.06593795865774155
116,S 000526,主板,20220706,学大教育,15.47,0,0,0,0,0,0,不涨,0.003806721419095993
117,S 000528,主板,20220706,柳工,6.49,0,0,0,0,0,0,不涨,0.0037605210673063993
118,S 000529,主板,20220706,广弘控股,6.8,0,0,0,0,0,0,不涨,0.006549026817083359
119,S 000530,主板,20220706,冰山冷热,4.36,0,0,0,0,0,0,不涨,0.007898109033703804
120,S 000531,主板,20220706,穗恒运A,7.85,0,0,0,0,0,0,不涨,0.014504943042993546
121,S 000532,主板,20220706,华金资本,11.26,0,0,0,0,0,0,不涨,0.005403290968388319
122,S 000533,主板,20220706,顺钠股份,3.76,0,0,0,0,0,0,不涨,0.021664954721927643
123,S 000534,主板,20220706,万泽股份,13.34,0,0,0,0,0,0,不涨,0.01241033524274826
124,S 000536,主板,20220706,华映科技,2.11,0,0,0,0,0,0,不涨,0.0038900708314031363
125,S 000537,主板,20220706,广宇发展,12.93,0,0,0,0,0,0,不涨,0.0003168743569403887
126,S 000538,主板,20220706,云南白药,59.52,0,0,0,0,0,0,不涨,0.0008052322664298117
127,S 000539,主板,20220706,粤电力A,4.39,0,0,0,0,0,0,不涨,0.0007536274497397244
128,S 000540,主板,20220706,中天金融,1.87,0,0,0,0,0,0,不涨,0.0010440113255754113
129,S 000541,主板,20220706,佛山照明,5.13,0,0,0,0,0,0,不涨,0.0013214382342994213
130,S 000543,主板,20220706,皖能电力,4.42,0,0,0,0,0,0,不涨,0.01339176669716835
131,S 000544,主板,20220706,中原环保,5.79,0,0,0,0,0,0,不涨,0.0016685080481693149
132,S 000545,主板,20220706,金浦钛业,5.01,0,0,0,0,0,0,不涨,0.2004283368587494
133,S 000546,主板,20220706,金圆股份,19.13,0,0,0,0,0,0,不涨,0.0016776034608483315
134,S 000547,主板,20220706,航天发展,12.41,0,0,0,0,0,0,不涨,0.0038867651019245386
135,S 000548,主板,20220706,湖南投资,4.36,0,0,0,0,0,0,不涨,0.002304618712514639
136,S 000550,主板,20220706,江铃汽车,18.69,0,0,0,0,0,0,不涨,0.06468816101551056
137,S 000551,主板,20220706,创元科技,8.41,0,0,0,0,0,0,不涨,0.0014328298857435584
138,S 000552,主板,20220706,靖远煤电,4.17,0,0,0,0,0,0,不涨,4.6027078496990725e-05
139,S 000553,主板,20220706,安道麦A,11.82,0,0,0,0,0,0,不涨,0.00743334274739027
140,S 000554,主板,20220706,泰山石油,5.11,0,0,0,0,0,0,不涨,0.004035527352243662
141,S 000555,主板,20220706,神州信息,10.77,0,0,0,0,0,0,不涨,0.0010543690295889974
